State,Statefip,Replacement_rate,Min ben,Max ben,Pua_min
,,,,,
Alabama,1,0.0385,45,275,113
,,,,,
Alaska,2,0.037,56,370,133
,,,,,
Arizona,4,0.04,187,240,117
,,,,,
Arkansas,5,0.0385,81,451,132
,,,,,
California,6,0.0385,40,450,167
,,,,,
Colorado,8,0.045,25,561,223
,,,,,
Connecticut,9,0.0385,15,649,198
,,,,,
Delaware,10,0.043,20,400,133
,,,,,
District of Columbia,11,0.0385,50,444,179
,,,,,
Florida,12,0.0385,32,275,125
,,,,,
Georgia,13,0.0476,55,365,149
,,,,,
Hawaii,15,0.0476,5,648,263
,,,,,
Idaho,16,0.0385,72,448,168
,,,,,
Illinois,17,0.0385,51,484,198
,,,,,
Indiana,18,0.0385,37,390,149
,,,,,
Iowa,19,0.043,72,481,203
,,,,,
Kansas,20,0.0417,122,488,192
,,,,,
Kentucky,21,0.0476,39,552,176
,,,,,
Louisiana,22,0.04,10,247,107
,,,,,
Maine,23,0.045,77,445,172
,,,,,
Maryland,24,0.0417,50,430,176
,,,,,
Massachusetts,25,0.0385,98,823,267
,,,,,
Michigan,26,0.04,150,362,160
,,,,,
Minnesota,27,0.0385,28,462,234
,,,,,
Mississippi,28,0.0385,30,235,106
,,,,,
Missouri,29,0.04,35,320,133
,,,,,
Montana,30,0.0385,163,552,184
,,,,,
Nebraska,31,0.0385,70,440,173
,,,,,
Nevada,32,0.04,16,469,181
,,,,,
New Hampshire,33,0.04,32,427,168
,,,,,
New Jersey,34,0.045,120,713,230
,,,,,
New Mexico,35,0.04,86,461,169
,,,,,
New York,36,0.0385,104,504,178
,,,,,
North Carolina,37,0.0385,15,350,132
,,,,,
North Dakota,38,0.0385,43,618,228
,,,,,
Ohio,39,0.0385,135,480,189
,,,,,
Oklahoma,40,0.043,16,539,189
,,,,,
Oregon,41,0.05,151,648,205
,,,,,
Pennsylvania,42,0.04,68,572,195
,,,,,
Rhode Island,44,0.0385,53,586,183
,,,,,
South Carolina,45,0.0385,42,326,131
,,,,,
South Dakota,46,0.0385,28,414,172
,,,,,
Tennessee,47,0.0385,30,275,120
,,,,,
Texas,48,0.04,69,521,207
,,,,,
Utah,49,0.0385,32,580,211
,,,,,
Vermont,50,0.045,72,513,190
,,,,,
Virginia,51,0.04,60,378,158
,,,,,
Washington,53,0.0385,188,790,235
,,,,,
West Virginia,54,0.042,24,424,158
,,,,,
Wisconsin,55,0.04,54,370,163
,,,,,
Wyoming,56,0.04,36,508,193
